"X","hhid","hhid_2010","year","aez","lat","lon","maize_area_ha_sw","maize_pro_sw","maize_qua_sw_kh","fert_qua_sw","fert_qua_sw_kh","hybrid","farm_income","total_income","sex","mar_stat","age","fam_exp","educ_hoh","hh_size","ad_equ_oecd_mod","HFIAS","HFIA","maize_area_ha","maize_pro","fert_use","fert_qua","fert_qua_kh","maize_qua_kh","e5","e6","credit_acc_hh_sc","acc_ext","heard_new_var","acc_ext_past","heard_new_var_past","overall_match","identification","match_pr_anh","acc_cred","maximum_2m_air_temperature_year","minimum_2m_air_temperature_year","total_precipitation_year","dismarket_km","dismarket_min","ext_km","ext_min","keep_hh","school","mysample","total_income_log","Qair_f_inst_mean_year","Admin_1"
113,11104,611076,2010,"Coastal Lowland",-3.858350039,39.65208054,0.8100000024,445.6854248,550.2289429,0,0,0,10000,70000,1,0,58,33,7,8,3.700000048,6,3,1.620000005,810,0,0,0,500,0,1,0,0,0,1,1,11,1,1,NA,34.48353958,18.65065956,741.9417114,3,45,3,45,1,1,1,11.15625095,1.583623528,"Kilifi"
114,11104,NA,2013,"Coastal Lowland",-3.858350039,39.65208054,0.2025000006,219.1878052,1082.408936,0,0,0,0,16000,1,2,60,35,9,6,2.700000048,6,3,0.4050000012,450,0,0,0,1111.111084,NA,NA,0,1,NA,1,NA,11,1,1,0,34.27703094,18.70684052,539.1941528,3,45,3,45,1,1,1,9.680343628,1.542534232,"Kilifi"
115,11105,611077,2010,"Coastal Lowland",-3.856460094,39.64345932,1.143274546,457.3098145,400,0,0,0,25000,68000,1,0,62,42,5,7,3.799999952,3,2,2.025000095,810,0,0,0,399.9999695,1,1,1,0,0,1,1,8,1,1,NA,34.48353958,18.65065956,741.9417114,2,45,2,45,1,1,1,11.12726307,1.583623528,"Kilifi"
116,11105,NA,2013,"Coastal Lowland",-3.856460094,39.64345932,0.4050000012,140.8121948,347.6844177,0,0,1,50000,326000,1,0,64,44,7,7,3.799999952,17,4,0.8100000024,270,0,0,0,333.3333435,NA,NA,1,1,NA,1,NA,8,1,1,0,34.27703094,18.70684052,539.1941528,2,45,2,45,1,1,1,12.69465256,1.542534232,"Kilifi"
117,11106,611078,2010,"Coastal Lowland",-3.860899925,39.63011169,0.4752411842,743.2487793,1563.940186,0,0,0,37000,82000,1,0,69,38,7,14,5.900000095,0,1,0.9112499952,1440,0,0,0,1580.246948,1,1,1,0,0,1,1,11,1,1,NA,34.48353958,18.65065956,741.9417114,1,10,4,120,1,1,1,11.31447411,1.583623528,"Kilifi"
118,11106,NA,2013,"Coastal Lowland",-3.860899925,39.63011169,1.215000033,506.6243896,416.9747925,0,0,0,89000,391000,1,0,71,40,7,12,5.699999809,15,4,2.430000067,990,0,0,0,407.4074097,NA,NA,1,1,NA,1,NA,11,1,1,1,34.27703094,18.70684052,539.1941528,1,10,4,120,1,1,1,12.87646294,1.542534232,"Kilifi"
119,11107,611073,2010,"Coastal Lowland",-3.843159914,39.62947083,1.041081905,1850.491211,1777.46936,0,0,1,27200,77200,1,0,67,11,9,7,3.200000048,0,1,2.075624943,3360,0,0,0,1618.789551,0,1,1,0,0,1,1,1,1,2,NA,34.48353958,18.65065956,741.9417114,4,45,8,80,0,1,1,11.25415516,1.583623528,"Kilifi"
120,11107,NA,2013,"Coastal Lowland",-3.843159914,39.62947083,1.620000005,1664.821777,1027.667725,0,0,1,90300,278300,1,0,51,27,14,11,5.800000191,10,3,3.24000001,3690,0,0,0,1138.888916,NA,NA,1,1,NA,1,NA,1,1,2,1,34.27703094,18.70684052,539.1941528,4,45,8,80,0,1,1,12.53645515,1.542534232,"Kilifi"
121,11202,612038,2010,"Coastal Lowland",-3.946660042,39.55899048,0.8100000024,410.8121948,507.1755371,0,0,1,0,150000,1,0,73,53,0,7,3.400000095,6,3,1.620000005,810,0,0,0,500,1,1,0,0,1,1,0,11,1,1,NA,34.48353958,18.65065956,741.9417114,1.5,30,1.5,30,1,1,1,11.91839027,1.583623528,"Kilifi"
122,11202,NA,2013,"Coastal Lowland",-3.946660042,39.55899048,0.4050000012,41.29159927,101.954567,0,0,1,12500,588500,1,0,75,55,0,19,8.399999619,18,4,0.8100000024,80,0,0,0,98.76543427,NA,NA,0,1,NA,1,NA,11,1,1,0,34.27703094,18.70684052,539.1941528,1.5,30,1.5,30,1,0,1,13.28533268,1.542534232,"Kilifi"
123,11203,612039,2010,"Coastal Lowland",-3.950309992,39.55184937,2.227499962,1232.436646,553.2824707,0,0,1,19150,211150,1,0,50,8,12,8,4.300000191,0,1,4.454999924,2430,0,0,0,545.4545288,1,1,1,0,0,1,1,11,1,1,NA,34.48353958,18.65065956,741.9417114,5,1,0.5,15,1,1,1,12.26032448,1.583623528,"Kilifi"
124,11203,NA,2013,"Coastal Lowland",-3.950309992,39.55184937,0.6075000167,219.1878052,360.802948,100,164.6090546,1,6000,56000,1,0,52,10,12,6,3.5,5,4,1.215000033,450,1,200,164.6090546,370.3703613,NA,NA,1,1,NA,1,NA,11,1,1,1,34.27703094,18.70684052,539.1941528,5,1,0.5,15,1,1,1,10.93310738,1.542534232,"Kilifi"
125,11205,612042,2010,"Coastal Lowland",-3.963140011,39.55131912,0.9146196246,1693.740112,1851.851929,0,0,1,180000,360000,1,0,71,25,6,12,6.099999905,4,2,1.620000005,3000,0,0,0,1851.851807,1,1,1,0,0,1,1,9,1,1,NA,34.48353958,18.65065956,741.9417114,0.5,10,12,20,1,1,1,12.79385948,1.583623528,"Kilifi"
126,11205,NA,2013,"Coastal Lowland",-3.963140011,39.55131912,2.430000067,250.4060974,103.0477753,150,61.72839355,1,30000,138000,1,0,73,27,6,9,4.599999905,16,4,4.860000134,495,1,300,61.72839355,101.8518524,NA,NA,1,1,NA,1,NA,9,1,1,1,34.27703094,18.70684052,539.1941528,0.5,10,12,20,1,1,1,11.83500862,1.542534232,"Kilifi"
127,11206,9000001,2010,"Coastal Lowland",-0.5334500074,37.33494949,0.7479823828,648.9342041,867.5795288,0,0,0,7000,32200,1,0,61,18,8,9,4.599999905,15,4,1.417500019,1170,0,0,0,825.3967896,1,1,1,0,0,1,1,6,1,1,NA,27.14509964,9.621479988,1503.350586,1,15,10,200,1,1,1,10.37972164,1.224352121,"Kirinyaga"
128,11206,NA,2013,"Coastal Lowland",-0.5334500074,37.33494949,1.215000033,0,0,0,0,1,6000,266000,1,0,62,20,8,12,6.300000191,0,1,2.430000067,0,0,0,0,0,NA,NA,1,1,NA,1,NA,6,1,1,1,29.22356987,7.293660164,1681.454956,1,15,10,200,1,1,1,12.49125195,1.132117748,"Kirinyaga"
129,11207,612037,2010,"Coastal Lowland",-3.950160027,39.56008148,1.495964766,1212.182983,810.3018188,49.31022263,32.96215439,0,12000,102000,0,2,68,45,14,6,3.5,0,1,2.835000038,2250,1,91,32.09876633,793.6507568,1,1,0,0,0,1,1,1,1,2,NA,34.48353958,18.65065956,741.9417114,1.5,30,5,100,0,1,1,11.5327282,1.583623528,"Kilifi"
130,11207,NA,2013,"Coastal Lowland",-3.950160027,39.56008148,1.597725034,965.913269,604.5553589,350,219.0614777,1,70875,348375,1,0,68,40,12,3,1.799999952,0,1,3.195450068,2205,1,700,219.0614777,690.0436401,NA,NA,0,1,NA,1,NA,1,1,2,0,34.27703094,18.70684052,539.1941528,1.5,30,5,100,0,1,1,12.76103497,1.542534232,"Kilifi"
131,11301,613049,2010,"Coastal Lowland",-3.234549999,40.03422165,0.6075000167,249.3274536,410.4155579,0,0,1,0,195000,1,0,41,26,13,7,3,8,3,1.215000033,472.5,0,0,0,388.8888855,1,1,1,0,1,1,0,4,1,1,NA,34.32992172,20.96820068,686.6856079,5,50,3,60,1,1,1,12.18075466,1.646438479,"Kilifi"
132,11301,NA,2013,"Coastal Lowland",-3.234549999,40.03422165,0.532256484,527.5634155,991.1826782,32.82289886,61.66744614,0,0,110640,0,2,58,40,0,8,3.5,12,4,0.9821249843,1090,1,65,66.18302155,1109.838379,NA,NA,1,1,NA,1,NA,4,1,1,1,33.96987152,20.86882973,552.4358521,5,50,3,60,1,0,1,11.61403656,1.580743313,"Kilifi"
133,11303,613051,2010,"Coastal Lowland",-3.228189945,40.0248909,0.8100000024,230.8121948,284.9533386,0,0,0,0,96000,1,0,64,38,1,6,2.900000095,12,4,1.620000005,450,0,0,0,277.777771,0,1,0,0,0,1,1,11,1,1,NA,34.32992172,20.96820068,686.6856079,0.5,10,8,120,1,1,1,11.47210312,1.646438479,"Kilifi"
134,11303,NA,2013,"Coastal Lowland",-3.228189945,40.0248909,0.3429823816,203.2488098,592.5925903,0,0,0,0,230000,1,0,66,40,3,9,4.400000095,20,4,0.6075000167,360,0,0,0,592.5925903,NA,NA,0,1,NA,1,NA,11,1,1,0,33.96987152,20.86882973,552.4358521,0.5,10,8,120,1,1,1,12.34583473,1.580743313,"Kilifi"
135,11306,613054,2010,"Coastal Lowland",-3.228189945,40.02487946,0.1143274531,28.229002,246.9135895,0,0,1,2000,28000,1,0,62,38,3,9,3.400000095,9,3,0.2025000006,50,0,0,0,246.9135742,0,0,1,0,0,1,1,11,1,1,NA,34.32992172,20.96820068,686.6856079,0.5,10,8,120,1,1,1,10.23995972,1.646438479,"Kilifi"
136,11306,NA,2013,"Coastal Lowland",-3.228189945,40.02487946,0.6075000167,262.0305176,431.3259583,0,0,0,0,230000,1,0,64,40,0,7,3.599999905,18,4,1.215000033,495,0,0,0,407.4074097,NA,NA,1,0,NA,1,NA,11,1,1,0,33.96987152,20.86882973,552.4358521,0.5,10,8,120,1,0,1,12.34583473,1.580743313,"Kilifi"
137,11308,613053,2010,"Coastal Lowland",-3.241729975,40.03121948,0.1143274531,50.81220245,444.444458,0,0,0,3600,69200,1,0,37,2,12,10,4.5,4,3,0.2025000006,90,0,0,0,444.444458,1,1,0,0,0,1,1,1,1,2,NA,34.32992172,20.96820068,686.6856079,2,30,6,120,0,1,1,11.14475632,1.646438479,"Kilifi"
138,11308,NA,2013,"Coastal Lowland",-3.241729975,40.03121948,0.8100000024,199.5939026,246.4122314,0,0,0,6000,126000,1,0,60,30,4,10,5.099999905,7,4,1.620000005,405,0,0,0,250,NA,NA,0,1,NA,1,NA,1,1,2,0,33.96987152,20.86882973,552.4358521,2,30,6,120,0,1,1,11.74403763,1.580743313,"Kilifi"
139,11401,614055,2010,"Coastal Lowland",-3.325079918,39.99998856,1.143274546,508.1220093,444.4444275,28.229002,24.69135857,1,206200,1046200,1,0,43,8,11,4,2.099999905,0,1,2.025000095,900,1,50,24.69135666,444.4444275,1,1,1,0,0,1,1,11,1,1,NA,36.16371918,19.68185043,665.9338379,2,30,4,60,1,1,1,13.86067486,1.58290565,"Kilifi"
140,11401,NA,2013,"Coastal Lowland",-3.325079918,39.99998856,0.4573098123,355.6854248,777.777832,0,0,1,165000,532000,1,0,45,10,13,5,2.599999905,0,1,0.8100000024,630,0,0,0,777.777771,NA,NA,1,1,NA,1,NA,11,1,1,1,35.16685867,19.37585068,501.089386,2,30,4,60,1,1,1,13.18439865,1.535513282,"Kilifi"
141,11403,614057,2010,"Coastal Lowland",-3.326649904,39.9928093,0.4573098123,282.2900085,617.2839355,0,0,0,5000,75000,1,0,49,29,2,6,2.900000095,5,2,0.8100000024,500,0,0,0,617.2839355,0,0,0,0,0,1,0,11,1,1,NA,36.16371918,19.68185043,665.9338379,0.5,10,1.5,30,1,1,1,11.22524357,1.58290565,"Kilifi"
