year,aez,hybrid,sex,mar_stat,age,fam_exp,educ_yrs,hh_size,maize_area_ha,fert_use,maize_qua_kh,credit_acc,acc_ext,acc_ext_past,max_2m_air_temp_yr,precipitation_yr,dis_market_min,ext_km,Admin_1
2013,Coastal Lowland,1,1,0,66,20,12,7,3.037499905,0,133.3333435,1,1,1,34.27703094,539.1941528,10,3,Kilifi
2010,Coastal Lowland,0,1,0,76,43,6,2,1.923750043,0,187.1345062,0,0,1,34.48353958,741.9417114,15,7,Kilifi
2013,Coastal Lowland,0,1,0,78,45,8,9,2.430000067,0,74.07407379,1,1,1,34.27703094,539.1941528,15,7,Kilifi
2010,Coastal Lowland,1,1,0,58,8,12,5,1.82249999,0,172.8395081,1,0,1,34.48353958,741.9417114,10,0.3,Kilifi
2013,Coastal Lowland,1,1,0,59,10,12,5,1.620000005,1,166.6666718,1,1,1,34.27703094,539.1941528,10,0.3,Kilifi
2010,Coastal Lowland,0,1,0,58,33,7,8,1.620000005,0,500,0,0,1,34.48353958,741.9417114,45,3,Kilifi
2013,Coastal Lowland,0,1,2,60,35,9,6,0.405000001,0,1111.111084,0,1,1,34.27703094,539.1941528,45,3,Kilifi
2010,Coastal Lowland,0,1,0,62,42,5,7,2.025000095,0,399.9999695,1,0,1,34.48353958,741.9417114,45,2,Kilifi
2013,Coastal Lowland,1,1,0,64,44,7,7,0.810000002,0,333.3333435,1,1,1,34.27703094,539.1941528,45,2,Kilifi
2010,Coastal Lowland,0,1,0,69,38,7,14,0.911249995,0,1580.246948,1,0,1,34.48353958,741.9417114,10,4,Kilifi
2013,Coastal Lowland,0,1,0,71,40,7,12,2.430000067,0,407.4074097,1,1,1,34.27703094,539.1941528,10,4,Kilifi
2010,Coastal Lowland,1,1,0,67,11,9,7,2.075624943,0,1618.789551,1,0,1,34.48353958,741.9417114,45,8,Kilifi
2013,Coastal Lowland,1,1,0,51,27,14,11,3.24000001,0,1138.888916,1,1,1,34.27703094,539.1941528,45,8,Kilifi
2010,Coastal Lowland,1,1,0,73,53,0,7,1.620000005,0,500,0,0,1,34.48353958,741.9417114,30,1.5,Kilifi
2013,Coastal Lowland,1,1,0,75,55,0,19,0.810000002,0,98.76543427,0,1,1,34.27703094,539.1941528,30,1.5,Kilifi
2010,Coastal Lowland,1,1,0,50,8,12,8,4.454999924,0,545.4545288,1,0,1,34.48353958,741.9417114,1,0.5,Kilifi
2013,Coastal Lowland,1,1,0,52,10,12,6,1.215000033,1,370.3703613,1,1,1,34.27703094,539.1941528,1,0.5,Kilifi
2010,Coastal Lowland,1,1,0,71,25,6,12,1.620000005,0,1851.851807,1,0,1,34.48353958,741.9417114,10,12,Kilifi
2013,Coastal Lowland,1,1,0,73,27,6,9,4.860000134,1,101.8518524,1,1,1,34.27703094,539.1941528,10,12,Kilifi
2010,Coastal Lowland,0,1,0,61,18,8,9,1.417500019,0,825.3967896,1,0,1,27.14509964,1503.350586,15,10,Kirinyaga
2013,Coastal Lowland,1,1,0,62,20,8,12,2.430000067,0,0,1,1,1,29.22356987,1681.454956,15,10,Kirinyaga
2010,Coastal Lowland,0,0,2,68,45,14,6,2.835000038,1,793.6507568,0,0,1,34.48353958,741.9417114,30,5,Kilifi
2013,Coastal Lowland,1,1,0,68,40,12,3,3.195450068,1,690.0436401,0,1,1,34.27703094,539.1941528,30,5,Kilifi
2010,Coastal Lowland,1,1,0,41,26,13,7,1.215000033,0,388.8888855,1,0,1,34.32992172,686.6856079,50,3,Kilifi
2013,Coastal Lowland,0,0,2,58,40,0,8,0.982124984,1,1109.838379,1,1,1,33.96987152,552.4358521,50,3,Kilifi
2010,Coastal Lowland,0,1,0,64,38,1,6,1.620000005,0,277.777771,0,0,1,34.32992172,686.6856079,10,8,Kilifi
2013,Coastal Lowland,0,1,0,66,40,3,9,0.607500017,0,592.5925903,0,1,1,33.96987152,552.4358521,10,8,Kilifi
2010,Coastal Lowland,1,1,0,62,38,3,9,0.202500001,0,246.9135742,1,0,1,34.32992172,686.6856079,10,8,Kilifi
2013,Coastal Lowland,0,1,0,64,40,0,7,1.215000033,0,407.4074097,1,0,1,33.96987152,552.4358521,10,8,Kilifi
2010,Coastal Lowland,0,1,0,37,2,12,10,0.202500001,0,444.444458,0,0,1,34.32992172,686.6856079,30,6,Kilifi
2013,Coastal Lowland,0,1,0,60,30,4,10,1.620000005,0,250,0,1,1,33.96987152,552.4358521,30,6,Kilifi
2010,Coastal Lowland,1,1,0,43,8,11,4,2.025000095,1,444.4444275,1,0,1,36.16371918,665.9338379,30,4,Kilifi
2013,Coastal Lowland,1,1,0,45,10,13,5,0.810000002,0,777.777771,1,1,1,35.16685867,501.089386,30,4,Kilifi
2010,Coastal Lowland,0,1,0,49,29,2,6,0.810000002,0,617.2839355,0,0,1,36.16371918,665.9338379,10,1.5,Kilifi
2013,Coastal Lowland,1,1,0,50,30,3,7,0.607500017,0,444.4444275,0,1,1,35.16685867,501.089386,10,1.5,Kilifi
2010,Coastal Lowland,0,0,2,51,28,0,7,0.607500017,0,444.4444275,0,0,1,36.16371918,665.9338379,10,1.5,Kilifi
2013,Coastal Lowland,1,1,0,42,12,12,9,0.810000002,0,61.72839355,1,1,1,35.16685867,501.089386,10,1.5,Kilifi
2010,Coastal Lowland,0,0,2,54,51,6,18,4.860000134,0,462.9629517,1,0,1,36.16371918,665.9338379,30,26,Kilifi
2013,Coastal Lowland,1,0,2,78,52,0,11,5.264999866,0,769.2307739,1,1,1,35.16685867,501.089386,30,26,Kilifi
2010,Coastal Lowland,0,1,0,78,8,0,15,1.620000005,0,833.333313,0,0,1,36.35129929,600.9077148,30,6,Kilifi
2013,Coastal Lowland,0,1,0,80,10,0,10,1.215000033,0,0,1,1,1,35.90100098,459.7615051,30,6,Kilifi
2010,Coastal Lowland,1,1,0,51,31,5,14,1.154250026,0,1169.590576,0,0,1,36.37556839,496.6905823,101,4,Kilifi
2013,Coastal Lowland,1,0,2,74,12,0,10,0.810000002,0,1222.222168,1,1,1,36.85889816,366.1204224,101,4,Kilifi
2010,Coastal Lowland,1,1,0,67,33,0,18,2.430000067,0,666.666626,0,0,1,36.35129929,600.9077148,45,2.5,Kilifi
2013,Coastal Lowland,1,1,0,69,35,0,13,2.731725216,0,494.1931763,0,1,1,35.90100098,459.7615051,45,2.5,Kilifi
2010,Coastal Lowland,1,1,0,22,8,3,9,9.720000267,0,83.33332825,0,0,1,36.35129929,600.9077148,30,2,Kilifi
2013,Coastal Lowland,0,1,0,24,10,5,9,0.810000002,0,86.41975403,0,0,1,35.90100098,459.7615051,30,2,Kilifi
2010,Coastal Lowland,0,1,0,56,29,2,13,19.44000053,0,131.9444427,0,0,1,36.35129929,600.9077148,80,5,Kilifi
2013,Coastal Lowland,0,1,0,56,31,1,10,1.215000033,0,0,1,1,1,35.90100098,459.7615051,80,5,Kilifi
2010,Coastal Lowland,0,0,2,66,51,0,12,1.215000033,0,74.07407379,0,0,1,36.37556839,496.6905823,5,4,Kilifi
2013,Coastal Lowland,1,1,0,27,9,8,6,1.620000005,0,197.5308685,0,1,1,36.85889816,366.1204224,5,4,Kilifi
2010,Dry mid altitude,1,1,0,42,8,2,9,1.620000005,0,166.6666718,0,0,1,31.79509926,785.0289917,2,20,Kitui
2013,Dry mid altitude,0,1,0,45,11,5,9,3.24000001,0,15.43209839,0,1,1,32.48416138,763.2873535,2,20,Kitui
2010,Dry mid altitude,1,1,0,35,25,4,7,2.025000095,0,199.9999847,0,1,1,31.79509926,785.0289917,5,4,Kitui
2013,Dry mid altitude,0,0,1,36,15,10,6,0.70875001,0,656.0846558,0,1,1,32.48416138,763.2873535,5,4,Kitui
2010,Dry mid altitude,1,1,0,39,12,0,6,0.810000002,0,1611.111084,0,0,1,31.79509926,785.0289917,10,6,Kitui
2013,Dry mid altitude,1,1,0,42,15,3,6,0.607500017,1,24.69135666,0,1,1,32.48416138,763.2873535,10,6,Kitui
2010,Dry mid altitude,1,1,0,26,6,4,6,0.810000002,0,1166.666626,0,0,1,31.79509926,785.0289917,30,20,Kitui
2013,Dry mid altitude,0,1,0,29,9,7,6,0.810000002,0,244.4444427,0,0,1,32.48416138,763.2873535,30,20,Kitui
2010,Dry mid altitude,1,0,2,50,28,12,4,4.050000191,0,177.777771,1,0,1,31.79509926,785.0289917,20,3,Kitui
2013,Dry mid altitude,0,0,2,53,31,15,6,4.050000191,0,13.33333302,1,1,1,32.48416138,763.2873535,20,3,Kitui
2010,Dry mid altitude,0,0,2,58,20,0,1,0.354375005,0,1650.793579,0,0,1,31.79509926,785.0289917,30,3,Kitui
2013,Dry mid altitude,0,0,2,60,22,0,12,4.050000191,0,44.44444275,0,1,1,32.48416138,763.2873535,30,3,Kitui
2010,Dry mid altitude,0,1,0,65,35,5,12,3.240000248,0,277.777771,0,1,1,31.79509926,785.0289917,60,6,Kitui
2013,Dry mid altitude,1,1,0,68,37,8,2,12.96000004,0,59.41358185,0,1,1,32.48416138,763.2873535,60,6,Kitui
2010,Dry mid altitude,1,0,2,62,42,0,8,1.984500051,0,1269.841187,0,0,1,31.79509926,785.0289917,10,30,Kitui
2013,Dry mid altitude,0,0,2,65,45,0,8,3.24000001,0,27.77777863,0,1,1,32.48416138,763.2873535,10,30,Kitui
2010,Dry mid altitude,0,1,0,56,13,15,12,0.810000002,0,555.555542,0,0,1,31.79509926,785.0289917,40,50,Kitui
2013,Dry mid altitude,1,1,0,56,26,12,11,10.125,0,49.38271713,1,1,1,32.48416138,763.2873535,40,50,Kitui
2010,Dry mid altitude,1,1,0,58,37,0,6,1.204874992,0,149.3930969,0,0,1,31.79509926,785.0289917,60,0,Kitui
2013,Dry mid altitude,0,1,0,60,40,7,6,3.24000001,0,0,0,1,1,32.48416138,763.2873535,60,0,Kitui
2010,Dry mid altitude,1,1,0,40,19,9,8,1.721250057,0,679.7385254,0,1,1,31.6231308,808.1278076,3,5,Kitui
2013,Dry mid altitude,1,1,0,42,10,10,9,2.430000067,0,259.2592468,1,0,1,31.98015976,765.7780151,3,5,Kitui
2010,Dry mid altitude,1,1,0,38,13,11,7,7.492499828,0,66.73339844,1,0,1,35.8268013,584.3656006,60,4,Kitui
2013,Dry mid altitude,1,1,1,40,15,12,7,2.835000038,0,518.5184937,1,1,1,36.27177811,646.4593506,60,4,Kitui
2010,Dry mid altitude,1,0,3,46,17,2,6,3.240000248,1,233.333313,0,0,1,31.6231308,808.1278076,20,60,Kitui
2013,Dry mid altitude,1,0,2,48,20,5,8,1.113749981,0,646.4646606,1,1,1,31.98015976,765.7780151,20,60,Kitui
2010,Dry mid altitude,1,1,2,65,2,6,6,1.417500019,0,190.476181,0,0,1,31.6231308,808.1278076,5,5,Kitui
2013,Dry mid altitude,0,1,2,68,5,9,7,4.050000191,0,155.555542,0,0,1,31.98015976,765.7780151,5,5,Kitui
2010,Dry mid altitude,0,0,2,49,15,0,11,1.457999945,0,308.6419983,0,0,0,31.6231308,808.1278076,120,9,Kitui
2013,Dry mid altitude,0,0,2,51,18,2,4,1.620000005,0,333.3333435,0,0,0,31.98015976,765.7780151,120,9,Kitui
2010,Dry mid altitude,0,1,0,49,7,12,6,1.356750011,0,1127.694824,0,0,1,31.6231308,808.1278076,20,16,Kitui
2013,Dry mid altitude,1,1,0,52,10,14,8,3.24000001,0,791.666687,1,1,1,31.98015976,765.7780151,20,16,Kitui
2010,Dry mid altitude,0,1,0,23,7,8,5,4.961250305,0,816.3264771,1,0,1,31.6231308,808.1278076,15,20,Kitui
2013,Dry mid altitude,1,1,0,25,9,8,7,2.835000038,0,634.9206543,1,1,1,31.98015976,765.7780151,15,20,Kitui
2010,Dry mid altitude,0,1,0,80,59,0,8,1.620000005,0,194.4444427,0,0,1,34.98741913,638.1376953,45,6,Kitui
2013,Dry mid altitude,0,1,0,82,62,0,9,2.430000067,0,111.1111069,0,1,1,35.53910065,645.2404785,45,6,Kitui
2010,Dry mid altitude,0,1,0,82,51,0,5,2.025000095,0,355.555542,0,1,1,31.79509926,785.0289917,5,80,Kitui
2013,Dry mid altitude,0,1,0,82,54,0,2,3.24000001,0,15.43209839,0,1,1,32.48416138,763.2873535,5,80,Kitui
2010,Dry mid altitude,0,1,0,67,0,0,7,0.810000002,0,1672.839478,0,0,1,31.79509926,785.0289917,30,13,Kitui
2013,Dry mid altitude,1,1,0,70,3,0,7,1.620000005,0,444.444458,0,1,1,32.48416138,763.2873535,30,13,Kitui
2010,Dry mid altitude,0,1,0,41,8,10,8,0.810000002,0,61.72839355,1,0,1,31.79509926,785.0289917,30,10,Kitui
2013,Dry mid altitude,0,0,2,52,34,0,7,4.050000191,0,222.2222137,1,1,1,32.48416138,763.2873535,30,10,Kitui
2010,Dry mid altitude,0,1,0,75,47,0,3,0.810000002,0,333.3333435,1,0,1,31.79509926,785.0289917,10,20,Kitui
2013,Dry mid altitude,1,1,0,78,50,0,8,3.24000001,0,21.60493851,1,1,1,32.48416138,763.2873535,10,20,Kitui
2010,Dry mid altitude,1,1,0,62,47,7,2,1.883249998,0,1911.588989,1,0,1,31.79509926,785.0289917,10,27,Kitui
